BOM JESUS DO PIAUI (A326);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/mÂ²);Chuva (mm);
03/10/2021;0000;28,2;32,0;28,2;34,0;34,0;25,0;10,9;10,9;9,5;975,1;975,1;974,0;0,1;350,0;3,3;;0,0;
03/10/2021;0100;28,4;29,1;28,0;33,0;35,0;31,0;10,4;11,0;10,1;975,5;975,5;975,1;0,0;15,0;3,3;;0,0;
03/10/2021;0200;27,3;28,7;27,3;40,0;41,0;32,0;12,7;13,0;10,4;976,1;976,1;975,5;0,0;1,0;0,0;;0,0;
03/10/2021;0300;;;;;;;;;;;;;;;;;;
03/10/2021;0400;;;;;;;;;;;;;;;;;;
03/10/2021;0500;;;;;;;;;;;;;;;;;;
03/10/2021;0600;;;;;;;;;;;;;;;;;;
03/10/2021;0700;;;;;;;;;;;;;;;;;;
03/10/2021;0800;;;;;;;;;;;;;;;;;;
03/10/2021;0900;;;;;;;;;;;;;;;;;;
03/10/2021;1000;;;;;;;;;;;;;;;;;;
03/10/2021;1100;;;;;;;;;;;;;;;;;;
03/10/2021;1200;;;;;;;;;;;;;;;;;;
03/10/2021;1300;;;;;;;;;;;;;;;;;;
03/10/2021;1400;35,9;37,3;34,1;24,0;27,0;23,0;12,1;12,8;11,6;977,7;978,6;977,6;2,3;38,0;9,7;3327,45;0,0;
03/10/2021;1500;37,4;37,8;34,9;21,0;25,0;21,0;11,6;12,6;11,3;976,2;977,7;976,2;1,9;26,0;9,9;3299,24;0,0;
03/10/2021;1600;36,6;38,8;35,7;21,0;23,0;19,0;10,4;12,1;10,4;974,7;976,3;974,7;1,3;350,0;9,9;2796,36;0,0;
03/10/2021;1700;39,1;39,1;36,4;17,0;21,0;16,0;9,2;10,9;8,3;973,5;974,7;973,5;1,0;47,0;10,0;2628,26;0,0;
03/10/2021;1800;39,2;40,0;37,4;15,0;18,0;15,0;8,0;9,1;7,6;972,4;973,6;972,4;1,2;56,0;8,7;2548,62;0,0;
03/10/2021;1900;;;;;;;;;;;;;;;;;;
03/10/2021;2000;;;;;;;;;;;;;;;;;;
03/10/2021;2100;;;;;;;;;;;;;;;;;;
03/10/2021;2200;;;;;;;;;;;;;;;;;;
03/10/2021;2300;;;;;;;;;;;;;;;;;;
